task_id,time_cost,avg_forgetting,avg_bwt,avg_f1,avg_recall,avg_precision,avg_auc_roc,avg_auc_pr,avg_g_mean,avg_avg_cost,cl_mode
1,3.910398006439209,0.0,0.0,0.016537467700258397,1.0,0.008337675872850442,0.6819775812422871,0.014640129839443725,0.14660563655495398,0.9705222358221134,Naive
2,3.3250207901000977,0.00034313571645272836,-0.00034313571645272836,0.052436041684697766,1.0,0.027279644252067026,0.5003455618115544,0.027280060787698526,0.0248723152036552,0.9721233190399378,Naive
3,3.2633047103881836,0.00017156785822636418,-0.00017156785822636418,0.08638892275877512,1.0,0.04605196210567125,0.5002574083315755,0.04605223979609225,0.024256047888392803,0.9534016200287302,Naive
4,3.2420003414154053,0.00011437857215090945,-0.00011437857215090945,0.11476122284299968,1.0,0.06229794246618641,0.5005253767955863,0.06229815073400216,0.03108235295864603,0.9367668516308013,Naive
5,3.35038423538208,8.578392911318209e-05,-8.578392911318209e-05,0.13883332453228975,1.0,0.0764828807324331,0.5004644905659432,0.07648304734668569,0.029070124485261074,0.9227025517847227,Naive
6,3.2279341220855713,6.862714329054567e-05,-6.862714329054567e-05,0.17259532370545116,1.0,0.09804241975827858,0.5004372762748321,0.09804255860348908,0.02831577618499936,0.901215443871639,Naive
7,3.329277276992798,5.7189286075454725e-05,-5.7189286075454725e-05,0.18095560588904416,1.0,0.10270167715942627,0.5004232782003489,0.10270179616960672,0.027992030825705838,0.8965889364383679,Naive
8,3.3103301525115967,4.901938806467548e-05,-4.901938806467548e-05,0.1800788394752939,1.0,0.10177086097913542,0.500407453077204,0.10177096511304329,0.027537885421531506,0.8975477102210809,Naive
9,3.4431400299072266,4.2891964556591045e-05,-4.2891964556591045e-05,0.16946380936300906,1.0,0.09536716059715307,0.500422922604918,0.09536725316062673,0.027975066688277712,0.9039265637662596,Naive
10,3.3613054752349854,3.812619071696982e-05,-3.812619071696982e-05,0.16658888850610826,1.0,0.09339865331561095,0.5003934607267716,0.09339873662273726,0.026779457790557314,0.9059437745623091,Naive
